	(1)	(2)	(3)
	basic	fixedeff1	fixedeff2
VARIABLES	total_emissions	total_emissions	total_emissions
			
alberta	417,726.0201***	653,469.0379**	-4.5357e+07***
	(32,531.5883)	(298,453.7389)	(1.6907e+07)
post_treatment	-287027.6344***	-606657.2455***	-410972.5622***
	(26,212.3325)	(69,102.4925)	(99,706.6197)
albxpost	-303087.6189***	-292312.1455***	-392490.9000***
	(44,494.3407)	(44,245.0243)	(57,543.0781)
2.province_code		104,859.7735	-4.2116e+07***
		(298,471.1373)	(1.5515e+07)
3.province_code		84,144.5848	-3.8301e+07***
		(304,965.4255)	(1.4106e+07)
4.province_code		481,710.3655	-3.4055e+07***
		(306,001.3667)	(1.2693e+07)
5.province_code		410,075.8266	-3.0294e+07***
		(310,457.9802)	(1.1285e+07)
6.province_code		-18,109.6029	-2.6884e+07***
		(320,509.6297)	(9875843.5704)
7.province_code		634,524.5259**	-2.2400e+07***
		(306,947.1318)	(8468696.7668)
8.province_code		133,511.5503	-1.9062e+07***
		(361,625.2379)	(7061929.1518)
9.province_code		267,915.5313	-1.5094e+07***
		(297,765.7651)	(5651881.8101)
10.province_code		-22,903.6355	-1.1549e+07***
		(373,669.6680)	(4251310.2296)
11.province_code		150,406.4134	-7.5387e+06***
		(298,345.7802)	(2840722.7227)
12.province_code		377,890.8713	-3.4641e+06**
		(299,112.1487)	(1442901.6021)
13o.province_code		-	-
			
2005.year		-30,545.2219	-21,082.0670
		(86,304.9935)	(86,350.5600)
2006.year		-69,872.8223	-47,869.5479
		(85,812.4516)	(86,168.1891)
2007.year		-69,841.0955	-35,886.3117
		(85,456.6901)	(86,338.5020)
2008.year		-81,889.5947	-36,555.8795
		(85,576.2373)	(87,158.2409)
2009.year		-368581.1422***	-312732.8388***
		(78,223.8294)	(80,848.7891)
2010.year		-367943.4539***	-301473.7687***
		(77,818.8195)	(81,539.7816)
2011.year		-381229.9489***	-303657.2437***
		(77,717.7864)	(82,758.1709)
2012.year		-383090.2671***	-294521.2725***
		(77,406.9718)	(83,948.4321)
2013.year		-397119.2656***	-297440.0348***
		(76,939.0576)	(85,190.8498)
2014.year		-402079.9911***	-292313.3898***
		(76,825.8852)	(86,748.3839)
2015.year		-394670.0159***	-274056.1529***
		(77,114.9880)	(88,921.8306)
2016.year		266,889.7789***	234,700.1764***
		(52,465.4044)	(53,767.3473)
2017.year		5,178.8417	-15,006.3329
		(38,319.4503)	(39,019.8304)
2018.year		-3,319.3891	-13,219.5716
		(37,999.6905)	(38,162.6612)
2019o.year		-	-
			
provxt			-1,905.3247***
			(700.0254)
Constant	441,759.9668***	490,656.4943	5.0262e+07***
	(17,899.3037)	(303,544.3470)	(1.8289e+07)
			
Observations	11,331	11,331	11,331
R-squared	0.0410	0.0613	0.0619
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
