	(1)	(2)	(3)
	basic	fixedeff1	fixedeff2
VARIABLES	total_emissions	total_emissions	total_emissions
			
alberta	417,726.0201***	653,469.0379***	-4.5357e+07**
	(52,768.7628)	(59,578.7062)	(1.8185e+07)
post_treatment	-287027.6344***	-606657.2455***	-410972.5622***
	(17,028.2142)	(95,600.0421)	(126,997.2859)
albxpost	-303087.6189***	-292312.1455***	-392490.9000***
	(57,768.7157)	(57,872.4557)	(62,972.9362)
2.province_code		104,859.7735***	-4.2116e+07**
		(32,456.7185)	(1.6679e+07)
3.province_code		84,144.5848**	-3.8301e+07**
		(34,235.3060)	(1.5163e+07)
4.province_code		481,710.3655***	-3.4055e+07**
		(72,715.0137)	(1.3645e+07)
5.province_code		410,075.8266***	-3.0294e+07**
		(46,925.5770)	(1.2129e+07)
6.province_code		-18,109.6029	-2.6884e+07**
		(38,864.2445)	(1.0613e+07)
7.province_code		634,524.5259***	-2.2400e+07**
		(71,628.7431)	(9099272.9586)
8.province_code		133,511.5503***	-1.9062e+07**
		(37,194.3363)	(7581364.9156)
9.province_code		267,915.5313***	-1.5094e+07**
		(35,617.3478)	(6061772.7708)
10.province_code		-22,903.6355	-1.1549e+07**
		(49,690.2430)	(4551641.5101)
11.province_code		150,406.4134***	-7.5387e+06**
		(32,884.4509)	(3036266.9444)
12.province_code		377,890.8713***	-3.4641e+06**
		(44,285.5637)	(1509418.4894)
13o.province_code		-	-
			
2005.year		-30,545.2219	-21,082.0670
		(135,447.4145)	(135,537.1126)
2006.year		-69,872.8223	-47,869.5479
		(133,956.1329)	(134,308.1453)
2007.year		-69,841.0955	-35,886.3117
		(135,473.5946)	(136,756.9007)
2008.year		-81,889.5947	-36,555.8795
		(132,472.6437)	(134,659.8190)
2009.year		-368581.1422***	-312732.8388***
		(108,822.2555)	(112,718.3939)
2010.year		-367943.4539***	-301473.7687***
		(109,662.2240)	(115,172.2142)
2011.year		-381229.9489***	-303657.2437***
		(107,145.2499)	(114,766.9772)
2012.year		-383090.2671***	-294521.2725**
		(106,421.8812)	(116,394.1432)
2013.year		-397119.2656***	-297440.0348**
		(105,868.8311)	(118,587.1919)
2014.year		-402079.9911***	-292313.3898**
		(107,055.5777)	(122,911.5093)
2015.year		-394670.0159***	-274056.1529**
		(107,041.4694)	(126,025.5596)
2016.year		266,889.7789***	234,700.1764***
		(48,921.1759)	(51,814.7889)
2017.year		5,178.8417	-15,006.3329
		(24,092.1358)	(25,800.1380)
2018.year		-3,319.3891	-13,219.5716
		(22,699.8859)	(23,119.3440)
2019o.year		-	-
			
provxt			-1,905.3247**
			(752.7250)
Constant	441,759.9668***	490,656.4943***	5.0262e+07**
	(15,403.5314)	(100,122.9495)	(1.9653e+07)
			
Observations	11,331	11,331	11,331
R-squared	0.0410	0.0613	0.0619
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
