,ID,Year,GHG,Type,Province,District,Treatment_Group
0,G10001,2019,87560.402,Mechanical pulp mills,Quebec,Alma,0
1,G10003,2019,414577.2611,Pipeline transportation of natural gas,Alberta,Airdrie,1
2,G10004,2019,988.60372,Fossil-fuel electric power generation,Ontario,Bath,0
3,G10006,2019,1241088.717,Chemical fertilizer (except potash) manufacturing,Alberta,Sturgeon County,1
4,G10007,2019,267663.7652,Petrochemical manufacturing,Alberta,Edmonton,1
5,G10008,2019,551401.168,Pipeline transportation of natural gas,Alberta,Calgary,1
6,G10009,2019,149546.3773,Chemical pulp mills,Alberta,County of Athabasca,1
7,G10010,2019,818286.0755,Primary production of alumina and aluminum,British Columbia,Kitimat,0
8,G10011,2019,4086170.982,Iron and steel mills and ferro-alloy manufacturing,Ontario,Sault Ste. Marie,0
9,G10012,2019,1097883.319,Primary production of alumina and aluminum,Quebec,Sept-Îles,0
10,G10013,2019,514255.348,Primary production of alumina and aluminum,Quebec,Baie-Comeau,0
11,G10014,2019,415796.2582,Primary production of alumina and aluminum,Quebec,Bécancour,0
12,G10015,2019,153134.7827,Pipeline transportation of natural gas,Alberta,Edmonton,1
13,G10016,2019,17022.3,Other electric power generation,Ontario,Atikokan,0
14,G10018,2019,2202333.13,Fossil-fuel electric power generation,Alberta,Forestburg,1
15,G10020,2019,121486.6,Fossil-fuel electric power generation,New Brunswick,Saint John,0
16,G10021,2019,413802.084,Lime manufacturing,Quebec,Bedford,0
17,G10022,2019,2550879.99,Fossil-fuel electric power generation,New Brunswick,Belledune,0
18,G10024,2019,5071564.938,Fossil-fuel electric power generation,Saskatchewan,Estevan,0
19,G10025,2019,208374.6759,Chemical pulp mills,Ontario,Thunder Bay,0
20,G10026,2019,417967.0,Waste treatment and disposal,Manitoba,Winnipeg,0
21,G10027,2019,71775.52438,Automobile and light-duty motor vehicle manufacturing,Ontario,Brampton,0
22,G10028,2019,25947.78297,Fossil-fuel electric power generation,Manitoba,Brandon,0
23,G10029,2019,118690.4436,Oil and gas extraction (except oil sands),Alberta,Drayton Valley,1
24,G10030,2019,61423.37,Oil and gas extraction (except oil sands),Alberta,Drayton Valley,1
25,G10031,2019,38178.6658,Fossil-fuel electric power generation,Ontario,Windsor,0
26,G10032,2019,25646.9442,Waste treatment and disposal,Ontario,Pickering,0
27,G10033,2019,166548.6656,Cement manufacturing,Nova Scotia,Brookfield,0
28,G10035,2019,166170.0,Non-ferrous metal (except aluminum) smelting and refining,New Brunswick,Belledune,0
29,G10036,2019,493297.9772,Petroleum refineries,British Columbia,Burnaby,0
30,G10038,2019,828648.3448,Pipeline transportation of natural gas,Saskatchewan,Burstall,0
31,G10039,2019,211643.178,All other basic inorganic chemical manufacturing,Ontario,Sarnia,0
32,G10040,2019,748182.9321,Fossil-fuel electric power generation,Alberta,Calgary,1
33,G10041,2019,279584.4318,Fossil-fuel electric power generation,British Columbia,Campbell River,0
34,G10042,2019,26296.62558,Other electric power generation,Ontario,Hearst,0
35,G10043,2019,124257.3467,Lime manufacturing,Ontario,Blind River,0
36,G10045,2019,159000.2262,All other basic inorganic chemical manufacturing,Alberta,Medicine Hat,1
37,G10046,2019,3941392.049,Pipeline transportation of natural gas,Alberta,Fairview,1
38,G10047,2019,26736.815,Fossil-fuel electric power generation,Ontario,Cardinal,0
39,G10049,2019,29123.832,Oil and gas extraction (except oil sands),Alberta,Bonnyville,1
40,G10050,2019,456236.8016,Lime manufacturing,Ontario,Dundas,0
41,G10051,2019,402475.9457,Lime manufacturing,Ontario,Ingersoll,0
42,G10052,2019,921117.9773,Iron ore mining,Newfoundland and Labrador,Labrador City,0
43,G10053,2019,486646.903,Chemical fertilizer (except potash) manufacturing,Alberta,Wheatland County,1
