,Province,Year,GHG
0,Alberta,2004,107672329.08935
1,Alberta,2005,106918237.82492
2,Alberta,2006,113851195.136284
3,Alberta,2007,112409043.386605
4,Alberta,2008,119586420.78499
5,Alberta,2009,118087284.25519401
6,Alberta,2010,123251973.17877
7,Alberta,2011,123934989.806113
8,Alberta,2012,126890290.04184599
9,Alberta,2013,132507698.039612
10,Alberta,2014,139201145.595893
11,Alberta,2015,141113002.637262
12,Alberta,2016,140653145.811877
13,Alberta,2017,158316909.790214
14,Alberta,2018,156682167.321012
15,Alberta,2019,155280600.610812
16,British Columbia,2004,14732159.1821
17,British Columbia,2005,14018200.514265
18,British Columbia,2006,12744989.204209
19,British Columbia,2007,13073148.379548
20,British Columbia,2008,13429479.827683
21,British Columbia,2009,13609824.550959
22,British Columbia,2010,14174804.616618
23,British Columbia,2011,14745028.25917
24,British Columbia,2012,14658445.974217
25,British Columbia,2013,15177907.24254
26,British Columbia,2014,14724817.03433
27,British Columbia,2015,13831596.834796
28,British Columbia,2016,13520180.78036
29,British Columbia,2017,16584669.356322
30,British Columbia,2018,15999809.080079
31,British Columbia,2019,16060573.69115
32,Manitoba,2004,2560036.4491
33,Manitoba,2005,2907763.8487
34,Manitoba,2006,2520691.06422
35,Manitoba,2007,2484074.489049
36,Manitoba,2008,2361646.6727
37,Manitoba,2009,2141642.947079
38,Manitoba,2010,1890133.4650980001
39,Manitoba,2011,2019979.778955
40,Manitoba,2012,1889089.0324360002
41,Manitoba,2013,2037928.157936
42,Manitoba,2014,1961438.3431799999
43,Manitoba,2015,2095400.972404
44,Manitoba,2016,1836026.778821
45,Manitoba,2017,2413033.73831
46,Manitoba,2018,2593293.43046
47,Manitoba,2019,2642052.07865
48,New Brunswick,2004,12979244.27871
49,New Brunswick,2005,12653652.592
50,New Brunswick,2006,10234023.135895
51,New Brunswick,2007,10910133.64581
52,New Brunswick,2008,10287060.58962
53,New Brunswick,2009,10120608.46804
54,New Brunswick,2010,8230716.03177
55,New Brunswick,2011,7864798.19515
56,New Brunswick,2012,7214205.943399999
57,New Brunswick,2013,7517832.44075
58,New Brunswick,2014,7556874.7389899995
59,New Brunswick,2015,7260000.64608
60,New Brunswick,2016,7795519.09044
61,New Brunswick,2017,6978614.63634
62,New Brunswick,2018,7010130.10256
63,New Brunswick,2019,6804589.63472
64,Newfoundland and Labrador,2004,5388416.0298999995
65,Newfoundland and Labrador,2005,5398174.8882
66,Newfoundland and Labrador,2006,4975368.9012
67,Newfoundland and Labrador,2007,5448217.824200001
68,Newfoundland and Labrador,2008,5290506.794199999
69,Newfoundland and Labrador,2009,4392257.44164
70,Newfoundland and Labrador,2010,4560159.51236
71,Newfoundland and Labrador,2011,4267238.24921
72,Newfoundland and Labrador,2012,4345910.03625
73,Newfoundland and Labrador,2013,4370561.05801
74,Newfoundland and Labrador,2014,4677639.52185
75,Newfoundland and Labrador,2015,4804955.77094
76,Newfoundland and Labrador,2016,5434786.2824
77,Newfoundland and Labrador,2017,5812893.8957
78,Newfoundland and Labrador,2018,5433761.9006
79,Newfoundland and Labrador,2019,5638786.2298
80,Northwest Territories,2004,366550.07550000004
81,Northwest Territories,2005,360402.5898
82,Northwest Territories,2006,320431.49809999997
83,Northwest Territories,2007,521820.447
84,Northwest Territories,2008,533452.0342999999
85,Northwest Territories,2009,589935.776846
86,Northwest Territories,2010,545027.5529
87,Northwest Territories,2011,554957.7465
88,Northwest Territories,2012,549781.9638
89,Northwest Territories,2013,591377.0406
90,Northwest Territories,2014,576429.587
91,Northwest Territories,2015,668965.0025899999
92,Northwest Territories,2016,570022.14776
93,Northwest Territories,2017,574592.7763
94,Northwest Territories,2018,610584.6588900001
95,Northwest Territories,2019,609509.04973
96,Nova Scotia,2004,11778042.6673
97,Nova Scotia,2005,11751279.1563
98,Nova Scotia,2006,10809721.153099999
99,Nova Scotia,2007,11420755.58452
100,Nova Scotia,2008,11109785.1744
101,Nova Scotia,2009,10787904.00598
102,Nova Scotia,2010,10614842.38462
103,Nova Scotia,2011,9879027.422629999
104,Nova Scotia,2012,8826049.678030001
105,Nova Scotia,2013,9130143.94228
106,Nova Scotia,2014,7828643.04762
107,Nova Scotia,2015,7610131.33576
108,Nova Scotia,2016,7795442.0709
109,Nova Scotia,2017,7507081.19059
110,Nova Scotia,2018,7664809.81551
111,Nova Scotia,2019,7132639.92846
112,Nunavut,2010,134626.458
113,Nunavut,2011,198797.93818
114,Nunavut,2012,203299.95
